Name,Direction,Line,Location,longitude,latitude
Whitehorn,NE,North/South,"(51.085955735215, -113.981742662314)",-114.069,50.89909
1 St SW,DTWestbnd,West,"(51.085955735215, -113.981742662314)",-114.169,51.03838
Bridgeland / Memorial,NE,East/West,"(51.085955735215, -113.981742662314)",-114.064,51.04658
Southland,SW,North/South,"(51.085955735215, -113.981742662314)",-114.075,50.95432
Banff Trail,NW,North/South,"(51.085955735215, -113.981742662314)",-114.08,51.04692
39 Avenue,SW,North/South,"(51.085955735215, -113.981742662314)",-114.077,51.04699
69 St SW,West,West/East,"(51.085955735215, -113.981742662314)",-114.061,51.01757
Sunnyside,NW,North/South,"(51.085955735215, -113.981742662314)",-114.073,50.92316
Barlow / Max Bell,NE,East/West,"(51.085955735215, -113.981742662314)",-114.125,51.04168
Sirocco,West,West/East,"(51.085955735215, -113.981742662314)",-114.084,51.05626
Lions Park,NW,North/South,"(51.085955735215, -113.981742662314)",-114.059,51.03206
3 St SW,DTEastbnd,East,"(51.085955735215, -113.981742662314)",-114.154,51.03796
Dalhousie,NW,North/South,"(51.085955735215, -113.981742662314)",-114.132,51.08705
SAIT/ACAD/Jubilee,NW,North/South,"(51.085955735215, -113.981742662314)",-114.04,51.04905
Sunalta,West,West/East,"(51.085955735215, -113.981742662314)",-114.057,51.04638
Anderson,SW,North/South,"(51.085955735215, -113.981742662314)",-114.075,51.04677
7 St SW,DTWestbnd,West,"(51.085955735215, -113.981742662314)",-114.007,51.0455
Rundle,NE,North/South,"(51.085955735215, -113.981742662314)",-114.104,51.06504
Downtown West - Kerby Station,DTWestbnd,West,"(51.085955735215, -113.981742662314)",-114.161,51.10328
Brentwood,NW,North/South,"(51.085955735215, -113.981742662314)",-114.136,51.0402
University,NW,North/South,"(51.085955735215, -113.981742662314)",-114.188,51.03765
Victoria Park / Stampede,SW,North/South,"(51.085955735215, -113.981742662314)",-114.057,51.04621
4 St SW,DTWestbnd,West,"(51.085955735215, -113.981742662314)",-114.123,51.08
City Hall EB,DTEastbnd,East,"(51.085955735215, -113.981742662314)",-114.091,51.06313
Erlton / Stampede,SW,North/South,"(51.085955735215, -113.981742662314)",-114.099,51.04482
Westbrook,West,West/East,"(51.085955735215, -113.981742662314)",-114.207,51.12243
Fish Creek - Lacombe,SW,North/South,"(51.085955735215, -113.981742662314)",-114.058,51.03858
Marlborough,NE,North/South,"(51.085955735215, -113.981742662314)",-114.116,51.07095
Chinook,SW,North/South,"(51.085955735215, -113.981742662314)",-114.073,51.04684
6 St SW,DTEastbnd,East,"(51.085955735215, -113.981742662314)",-114.062,51.04637
Shaganappi Point,West,West/East,"(51.085955735215, -113.981742662314)",-114.087,51.04713
Crowfoot,NW,North/South,"(51.085955735215, -113.981742662314)",-114.087,51.04723
Shawnessy,SW,North/South,"(51.085955735215, -113.981742662314)",-114.069,51.04661
McKnight Westwinds,NE,North/South,"(51.085955735215, -113.981742662314)",-113.982,51.05843
Heritage,SW,North/South,"(51.085955735215, -113.981742662314)",-114.077,50.96357
City Hall WB,DTWestbnd,West,"(51.085955735215, -113.981742662314)",-113.994,51.04753
8 St SW,DTEastbnd,East,"(51.085955735215, -113.981742662314)",-113.982,51.08596
Canyon Meadows,SW,North/South,"(51.085955735215, -113.981742662314)",-113.976,51.10922
Zoo,NE,East/West,"(51.085955735215, -113.981742662314)",-114.071,50.91057
45 St SW,West,West/East,"(51.085955735215, -113.981742662314)",-114.074,50.97799
Somerset-Bridlewood,SW,North/South,"(51.085955735215, -113.981742662314)",-113.982,51.07586
Centre St,DTEastbnd,East,"(51.085955735215, -113.981742662314)",-114.07,50.93592
Franklin,NE,East/West,"(51.085955735215, -113.981742662314)",-114.066,50.99681
Downtown West - Kerby Station,DTEastbnd,East,"(51.085955735215, -113.981742662314)",-114.025,51.04737
Saddletowne,NE,North/South,"(51.085955735215, -113.981742662314)",-113.968,51.11771
Tuscany,NW,North/South,"(51.085955735215, -113.981742662314)",-114.236,51.13447
Martindale,NE,North/South,"(51.085955735215, -113.981742662314)",-113.948,51.12571