COMPLEX_NAME,FACILITY_TYPE,TIER,ADDRESS,ORG,TYP_OF_ORG,STEWARD,OPER,LABEL,WEBSITE,PHONE,NOTES,GYM,GYMNAST_FAC,FITNSS_WGHT,FIT_STUDIO,MULTI_PURP_ROOMS,MEET_ROOMS,INDR_POOL,OUTDR_POOL,FW_25M,FW_50M,FW_18M,LANES_POOL,TEACH_POOL,WAVE_POOL,OTHER_POOL,INDR_WAD_POOL,DIVING_TANK,SPRINGBOARD,PLATFORM,DIVE_SLIDE,PLAY_SLIDE,ROPE_SWING,STEAM,HOT_TUB,SAUNA,CLIMB_WALL,TRACK_INDR,OUTDR_WAD_POOL,SPRAY_PARK,ICE_INDR,STAND_ICE,NHL_ICE,OLYMP_ICE,FIG_SKATING,CURL_RNK,CURL_SHEETS,INDR_SURFACE,INDR_TURF,DRY_PAD,RACQFAC_INDR,SQUASH_CRTS,RAQBALL_CRTS,BADMINT_CRTS,TENNIS_CRT,OUTDR_FIELD,ARTF_TURF_OUTDR,DIAM_FAC_OUTDR,TRACK_OUTDR,PUBLIC_GLF,SEMI_PRIV_GLF,HOLE_18,HOLE_9,DRIVERANG_OUTDR,DRIVERANG_INDR,SKI_NORDICTRCK,MUNICPAL_OP,NOTPROFIT_OP,PROFIT_OP,PRIVATE_OP,longitude,latitude,location,,
Shouldice Athletic Park,Athletic Park,,1515 HOME RD NW,Recreation,Municipal,Recreation,Recreation,Shouldice Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Shouldice-Athletic-Park.aspx,403-268-2489,"3 artificial turf fields, 4 soccer fields, 5 softball diamonds, 3 soccer/football fields, 1 baseball diamond, 4 softball fields w/ fence/lights",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,3,Y,N,N,N,N,N,N,N,N,Y,N,N,N,-114.169430407254,51.0739847410177,"(51.0739847410177, -114.169430407254)",,
Shouldice Aquatic Centre,Aquatic - Flat Water,1,5303 BOWNESS RD NW,Recreation,Municipal,Recreation,Recreation,Shouldice Aquatic Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Pools/Shouldice.aspx,403-268-2489,"25m pool (6 lane), 1.5m slide, 1m & 3m dive, steam room",0,N,N,0,0,0,Y,N,1,0,0,6,N,N,N,N,Y,Y,N,1,0,N,Y,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.172002978393,51.0770847336323,"(51.0770847336323, -114.172002978393)",,
Southland (Joseph Kryczka Arena),Arena,,2000 SOUTHLAND DR SW,Recreation,Municipal,Recreation,Recreation,Ed Whalen and Joseph Kryczka Arenas,http://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Ed-Whalen-and-Joe-Kryczka.aspx,403-268-2489,189'x85' ice rink (65 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.1076298876,50.9626925129066,"(50.9626925129066, -114.1076298876)",,
CKE Skatespot,Skate Park,,1015 73 AV SW,Parks,Municipal,Parks,Parks,CKE Skatespot,https://www.calgary.ca/CSPS/Recreation/Pages/Skateparks/Home.aspx?redirect=/skateparks,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.083914538484,50.9873594556113,"(50.9873594556113, -114.083914538484)",,
Jimmy Condon Arena,Arena,,502 HERITAGE DR SW,Recreation,Municipal,Recreation,Recreation,Rose Kohn and Jimmy Condon Arenas,http://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Rose-Kohn-and-Jimmie-Condon.aspx,403-268-2489,185'x85' ice rink (60 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.074233369299,50.98033280754,"(50.98033280754, -114.074233369299)",,
Foothills Athletic Park,Athletic Park,,2424 UNIVERSITY DR NW,Recreation,Municipal,Recreation,Recreation,Foothills Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Foothills-Athletic-Park.aspx,403-268-2489,"Little league diamond, 4 soccer fields, track, long jump, pole vault, discus, javelin, shot put, 8 tennis courts",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,8,Y,0,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,-114.124170586771,51.0732672755486,"(51.0732672755486, -114.124170586771)",,
Rotary Park Spray Park,Spray Park,,617 1 ST NE,Parks,Municipal,Parks,Parks,Rotary Park Spray Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NE-parks/Rotary-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,Y,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,Y,N,N,-114.060504816354,51.0572965293455,"(51.0572965293455, -114.060504816354)",,
Wildflower Arts Centre,Art Centre,,3363 SPRUCE DR SW,Recreation,Municipal,Recreation,Recreation,Wildflower Arts Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Arts-centres/Wildflower.aspx,403-249-3773,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.135533823538,51.0462724115184,"(51.0462724115184, -114.135533823538)",,
Glenmore Sailing School,Sailing School,,8415 24 ST SW,Recreation,Municipal,Recreation,Recreation,Glenmore Sailing School,https://www.calgary.ca/CSPS/Recreation/Pages/Sailing-school/Glenmore-Sailing-School.aspx,403-268-2489,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.119802022105,50.9751582328531,"(50.9751582328531, -114.119802022105)",,
Olympic Plaza,Outdoor Skating Rink,,228 8 AV SE,Parks,Municipal,Corporate Properties,Parks,Olympic Plaza,https://www.calgary.ca/CSPS/Parks/Pages/Locations/Downtown-parks/Olympic-Plaza.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.058935134036,51.0458299663338,"(51.0458299663338, -114.058935134036)",,
McKenzie Meadows Golf Club,Golf Course - Public,,17215 MCKENZIE MEADOWS DR SE,Private,Profit,McKenzie Meadows Golf Club,McKenzie Meadows Golf Club,McKenzie Meadows Golf Club,http://www.mckenziemeadows.com/,403-257-2255,"18 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,-114.00231720464,50.9009126637568,"(50.9009126637568, -114.00231720464)",,
Jack Setters Arena,Arena,,2020 69 AV SE,SRG,Not-for-Profit,Recreation,Millican Ogden CA,Jack Setters Arena,,403-236-3727,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.012414558028,50.9917561837725,"(50.9917561837725, -114.012414558028)",,
Bowness Park Lagoon,Outdoor Skating Rink,,8900 48 AV NW,Parks,Municipal,Parks,Parks,Bowness Park Lagoon,https://www.calgary.ca/CSPS/Parks/Pages/Locations/NW-parks/Bowness-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.214717246982,51.0967920361672,"(51.0967920361672, -114.214717246982)",,
Huntington Hills Skatepark,Skate Park,,CENTRE ST & 64 AV NW,Parks,Municipal,Parks,Parks,Huntington Hills Skatepark,https://www.calgary.ca/CSPS/Recreation/Pages/Skateparks/Home.aspx?redirect=/skateparks,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.065232742822,51.111229622293,"(51.111229622293, -114.065232742822)",,
Lakeview Golf Course,Golf Course - Municipal,,6540 20 ST SW,Recreation,Municipal,Recreation,Recreation,Lakeview Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/Lakeview.aspx,403-300-1003,"9 hole, practice putting green",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,-114.106832180439,51.0005877054191,"(51.0005877054191, -114.106832180439)",,
North Mount Pleasant Arts Centre,Art Centre,,523 27 AV NW,Recreation,Municipal,Recreation,Recreation,North Mount Pleasant Arts Centre,https://www.calgary.ca/CSPS/Recreation/Pages/Arts-centres/North-Mount-Pleasant.aspx,403-221-3682,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.07272552201,51.0767274243173,"(51.0767274243173, -114.07272552201)",,
Ernest Manning Athletic Park,Athletic Park,,20 SPRINGBOROUGH BV SW,Recreation,Municipal,Recreation,Recreation,Ernest Manning Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Ernest-Manning-athletic-park.aspx,403-268-2489,"Artificial turf for football, soccer, field lacrosse, ultimate, field hockey, rugby, special events/tournaments",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,1,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.192145806971,51.0364232253408,"(51.0364232253408, -114.192145806971)",,
South Health Campus YMCA,Fitness Centre,,4448 FRONT ST SE,RRC,Not-for-Profit,AHS,South Health Campus YMCA,South Health Campus YMCA,http://www.ymcacalgary.org/program-descriptions/locations/south-health-campus/,403-956-3900,"Strength & conditioning centre, running track, climbing wall, multipurpose spaces",0,N,Y,0,2,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,Y,Y,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-113.950868793644,50.8819030703342,"(50.8819030703342, -113.950868793644)",,
Acadia Recreation Complex,Arena,,240 90 AV SE,CA,Not-for-Profit,Parks,Acadia CA,Acadia Recreation Complex,http://www.acadiaca.com/acadia-recreation-complex/,403-255-1252,"Ice rink, curling (10 sheets), 5 squash and racquetball courts",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,Y,10,Y,0,1,Y,5,5,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.06521988449,50.9730444671255,"(50.9730444671255, -114.06521988449)",,
Frank McCool Athletic Park,Athletic Park,,1900 LAKE BONAVISTA DR SE,Recreation,Municipal,Recreation,Recreation,Frank McCool Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Frank-McCool-Athletic-Park.aspx,403-268-2489,"2 soccer fields, athletic field",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.051413962759,50.9364770705833,"(50.9364770705833, -114.051413962759)",,
Rotary Challenger Park,Athletic Park,,3688 48 AV NE,Private,Not-for-Profit,Calgary Rotary Challenger Park Society,Calgary Rotary Challenger Park Society,Rotary Challenger Park,http://www.challengerpark.com/,403-250-2707,"Soccer pitch, 2 softball diamonds, track, 2 tennis courts, basketball court, weights",0,N,Y,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,2,Y,0,Y,Y,N,N,N,N,N,N,N,N,Y,N,Y,-113.983525250421,51.0991656892198,"(51.0991656892198, -113.983525250421)",,
Thorncliffe / Greenview CA,Arena,,5600 CENTRE ST NE,CA,Not-for-Profit,Parks,Thorncliffe / Greenview CA,Thorncliffe / Greenview CA,http://www.tgcacalgary.com/,403-274-6840,"Ice rink / dry pad, gym, 2 fitness rooms, 4 meeting rooms",1,N,N,2,0,4,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,0,Y,0,1,N,0,1,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.061759757676,51.1015422074992,"(51.1015422074992, -114.061759757676)",,
Brentwood Sportsplex,Arena,,1520B NORTHMOUNT DR NW,CA,Not-for-Profit,Recreation,Brentwood CA,Brentwood Sportsplex,http://www.brentwoodcommunity.com/,403-284-3477,"Ice rink, meeting room, banquet hall",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,1,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.13781139244,51.0975054985689,"(51.0975054985689, -114.13781139244)",,
Douglasdale Eaglequest Golf Course,Golf Course - Public,,7 DOUGLAS WOODS DR SE,Private,Profit,Douglasdale Eaglequest Golf Course,Douglasdale Eaglequest Golf Course,Douglasdale Eaglequest Golf Course,http://www.eaglequestgolf.com/douglasdale/,403-279-7913,"18 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,-114.003599075707,50.9457074394982,"(50.9457074394982, -114.003599075707)",,
Acadia Athletic Park,Athletic Park,,295 90 AV SE,Recreation,Municipal,Recreation,Recreation,Acadia Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Acadia-Athletic-Park.aspx,403-268-2489,"Sports field, two flag football fields",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.062949105593,50.971025493846,"(50.971025493846, -114.062949105593)",,
Pop Davies Athletic Park,Athletic Park,,6415 OGDEN RD SE,Recreation,Municipal,Recreation,Recreation,Pop Davies Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Pop-Davies-Athletic-Park.aspx,403-268-2489,"2 soccer fields, 5 softball diamonds ",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,-114.008573946203,50.9962681043227,"(50.9962681043227, -114.008573946203)",,
Bowness Community Centre,Arena,,7904 43 AV NW,CA,Not-for-Profit,Parks,Bowness CA,Bowness Community Centre,http://www.mybowness.com/,403-288-8300,"Ice rink, meeting room, main hall",0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,1,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.200145275323,51.0916475420655,"(51.0916475420655, -114.200145275323)",,
Norma Bush Arena,Arena,,2424 UNIVERSITY DR NW,Recreation,Municipal,Recreation,Recreation,Father David Bauer and Norma Bush Arenas,http://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Father-David-Bauer-and-Norma-Bush.aspx,403-268-2489,185'x85' ice rink (60 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.125573563546,51.0734293543105,"(51.0734293543105, -114.125573563546)",,
Harvest Hills Golf Course,Golf Course - Public,,1450 HARVEST HILLS DR NE,Private,Profit,Harvest Hills Golf Course,Harvest Hills Golf Course,Harvest Hills Golf Course,http://www.harvesthillsgolf.com/,403-226-1203,9 hole,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,N,Y,N,N,N,N,N,Y,Y,-114.043380701013,51.1505317917197,"(51.1505317917197, -114.043380701013)",,
Don Hartman North East Sportsplex,Arena,,5200 68 ST NE,SRG,Not-for-Profit,Parks,North East Sportsplex Society,Don Hartman North East Sportsplex,http://www.nesportsplex.com/,403-590-2444,"2 ice rinks, gym, fitness/weights",1,N,Y,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,2,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-113.933589788185,51.1023424143518,"(51.1023424143518, -113.933589788185)",,
Fairview Arena,Arena,,8038 FAIRMONT DR SE,SRG,Not-for-Profit,Parks,Fairview Women's Hockey Arena Society,Fairview Arena,http://www.fairviewarena.com/,403-452-3082,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,Y,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.058735958128,50.9824769523798,"(50.9824769523798, -114.058735958128)",,
Tom Brook Athletic Park,Athletic Park,,2000 SOUTHLAND DR SW,Recreation,Municipal,Recreation,Recreation,Tom Brook Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Tom-Brook-Athletic-Park.aspx,403-268-2489,"Soccer field, softball diamond",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,Y,N,N,N,N,N,N,N,N,Y,N,N,N,-114.10782080353,50.9638534018303,"(50.9638534018303, -114.10782080353)",,
Valley Ridge Golf Course,Golf Course - Semi-Private,,11618 VALLEY RIDGE PA NW,Private,Profit,Valley Ridge Golf Course,Valley Ridge Golf Course,Valley Ridge Golf Course,http://www.valleyridgegolf.com/,403-288-9457,"18 hole, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,Y,Y,N,Y,N,N,N,N,Y,Y,-114.252724891101,51.0991721473654,"(51.0991721473654, -114.252724891101)",,
George Blundun Arena,Arena,,5020 26 AV SW,Recreation,Municipal,Recreation,Recreation,Optimist and George Blundun Arenas,http://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Optimist-and-George-Blundun.aspx,403-268-2489,185'x85' ice rink (200 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.160044888899,51.0319778601585,"(51.0319778601585, -114.160044888899)",,
Stew Hendry Arena,Arena,,810 13 AV NE,Recreation,Municipal,Recreation,Recreation,Stew Hendry and Henry Viney Arenas,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Stew-Hendry-and-Henry-Viney.aspx,403-268-2489,185'x85' ice rink (400 seat cap),0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.044691454886,51.0651771459899,"(51.0651771459899, -114.044691454886)",,
McCall Lake Golf Course,Golf Course - Municipal,,1600 32 AV NE,Recreation,Municipal,Recreation,Recreation,McCall Lake Golf Course,https://www.calgary.ca/CSPS/Recreation/Pages/Golf-courses/McCall-Lake.aspx,403-300-1005,"18 hole & 9 hole, driving range, practice putting green and chipping area",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,-114.020740733119,51.0841744321962,"(51.0841744321962, -114.020740733119)",,
Forest Lawn Athletic Park,Athletic Park,,4808 14 AV SE,Recreation,Municipal,Recreation,Recreation,Forest Lawn Athletic Park,https://www.calgary.ca/CSPS/Recreation/Pages/Athletic-parks/Forest-Lawn-Athletic-Park.aspx,403-268-2489,Soccer,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,Y,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-113.962460668052,51.0417319826607,"(51.0417319826607, -113.962460668052)",,
Carburn Park,Outdoor Skating Rink,,67 RIVERVIEW DR SE,Parks,Municipal,Parks,Parks,Carburn Park,https://www.calgary.ca/CSPS/Parks/Pages/Locations/SE-parks/Carburn-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.028765727628,50.9745845275787,"(50.9745845275787, -114.028765727628)",,
Triwood CA,Arena,,2244 CHICOUTIMI DR NW,CA,Not-for-Profit,Parks,Triwood CA,Triwood CA,http://www.triwoodcommunity.com/,403-282-2677,Ice rink,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,Y,0,1,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,N,-114.11087571095,51.0862532567818,"(51.0862532567818, -114.11087571095)",,
Prince's Island Lagoon,Outdoor Skating Rink,,25 PRINCE'S ISLAND PARK SW,Parks,Municipal,Parks,Parks,Prince's Island Lagoon,https://www.calgary.ca/CSPS/Parks/Pages/Locations/Downtown-parks/Princes-Island-Park.aspx,,,0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.071532496406,51.054388499366,"(51.054388499366, -114.071532496406)",,
Henry Viney Arena,Arena,,810 13 AV NE,Recreation,Municipal,Recreation,Recreation,Stew Hendry and Henry Viney Arenas,http://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Stew-Hendry-and-Henry-Viney.aspx,403-268-2489,185'x85' ice rink (150 seat cap) meeting room,0,N,N,0,0,1,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-114.045399293656,51.0653817089811,"(51.0653817089811, -114.045399293656)",,
Blue Devil Golf Club,Golf Course - Public,,2300 194 AV SE,Private,Profit,Blue Devil Golf Club,Blue Devil Golf Club,Blue Devil Golf Club,http://www.bluedevilgolf.com/,403-452-7892,"18 hole, 9 hole short, driving range",0,N,N,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,N,0,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,-114.007179995076,50.884034899194,"(50.884034899194, -114.007179995076)",,
Village Square Arena #1,Arena,,2623 56 ST NE,Recreation,Municipal,Recreation,Recreation,Village Square Arenas,https://www.calgary.ca/CSPS/Recreation/Pages/Arenas/Village-Square.aspx,403-268-2489,"185'x85' ice rink, 2 meeting rooms",0,N,N,0,0,2,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,1,0,0,N,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,Y,N,N,N,-113.954329878993,51.0755072296818,"(51.0755072296818, -113.954329878993)",,
WinSport,Multi-Sport Facility,,88 CANADA OLYMPIC RD SW,RRC,Not-for-Profit,WinSport,WinSport,WinSport,http://www.winsport.ca/,403-247-5452,,1,N,Y,0,0,0,N,N,0,0,0,0,N,N,N,N,N,N,N,0,0,N,N,N,N,N,N,N,N,Y,0,3,1,Y,N,0,N,0,0,N,0,0,0,0,N,0,N,N,N,N,N,N,N,N,N,N,Y,N,Y,-114.220888165858,51.0844829925066,"(51.0844829925066, -114.220888165858)",,
