Latitude,Longitude,Address,Square Feet,Price/Month,Bathrooms,Picture
51.091106,-114.119792,113 Brantford Crescent Northwest,240,100,0,https://www.rentfast.ca/rfc/listing_photos/6/7/2/7/3877276.v.1e2249d36c52c2e565b0286d80fa9769.jpg
51.0384,-113.968741,1726-1702 45 St SE,264,145,0,https://www.rentfast.ca/rfc/listing_photos/3/9/7/7/3927793.v.1fee053a4d4a79e91d489a73fd2fb7b7.jpg
51.058196,-114.077483,627 2nd Ave NW,280,175,0,https://www.rentfast.ca/rfc/listing_photos/8/8/5/9/1049588.v.d9dedec18fd3a1d4aab27d141964ed68.jpg
51.049468,-114.100882,19-17 St NW,240,175,0,https://www.rentfast.ca/rfc/listing_photos/1/9/9/8/3868991.v.c43c74ed4c9eeaae19a27f716675e774.jpg
51.083003,-114.056597,315 -34th Ave N.E.,400,180,0,https://www.rentfast.ca/rfc/listing_photos/3/3/5/6/3766533.v.bf3476ba255209e94020db1d21dcba50.jpg
50.97596,-114.016271,4 Riverbend Gate SE,400,275,0,https://www.rentfast.ca/rfc/listing_photos/8/1/9/9/1569918.v.4864377158254acdd6184ca30245fb87.jpg
51.089002,-114.156807,4907 Verulum Place NW,440,290,0,https://www.rentfast.ca/rfc/listing_photos/7/1/5/6/3906517.v.3909ab064adbb626907679ee0a389d19.jpg
51.033911,-114.212703,288 Saint Moritz Drive Southwest,,550,1,https://www.rentfaster.ca/324816
51.040695,-114.146623,1424 41 Street SW,576,295,0,https://www.rentfast.ca/rfc/listing_photos/5/2/8/8/3828825.v.d5a54ec6d3df521a3f28c100b9598f8d.jpg
51.079947,-114.027859,250 - 3115 12th St NE,800,400,1,https://www.rentfast.ca/rfc/listing_photos/3/3/3/2/3822333.v.bd43d6a5f4387f6ac9688a0d0f053190.jpg
51.078439,-114.08764,1222 Rosehill Drive Northwest,528,425,0,https://www.rentfast.ca/rfc/listing_photos/0/1/6/1/3671610.v.a010235dab2f91a481266d0509dda45e.jpg
51.033871,-114.212878,288 Saint Moritz Drive Southwest,400,550,1,https://www.rentfast.ca/rfc/listing_photos/8/7/5/6/3916578.v.5549ecd7d4d04e05c407e0ce92764e3e.jpg
,,,,,,
,,,,,,
,,,,,,
,,,,,,